霸王别姬,"张国荣,张丰毅,巩俐",上映时间：1993-01-01
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",上映时间：1994-10-14(美国)
罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",上映时间：1953-09-02(美国)
这个杀手不太冷,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",上映时间：1994-09-14(法国)
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",上映时间：1998-04-03
唐伯虎点秋香,"周星驰,巩俐,郑佩佩",上映时间：1993-07-01(中国香港)
千与千寻,"柊瑠美,入野自由,夏木真理",上映时间：2001-07-20(日本)
魂断蓝桥,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森",上映时间：1940-05-17(美国)
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",上映时间：1939-12-15(美国)
天空之城,"寺田农,鹫尾真知子,龟山助清",上映时间：1992
